它	it
冒	to emit; to give off; to send out (or up, forth); to brave; to face; (bound form) reckless; to falsely adopt (sb's identity etc); to feign; (literary) to cover
掌握	to grasp (often fig.); to control; to seize (initiative, opportunity, destiny); to master; to know well; to understand sth well and know how to use it; fluency
單身汪	n. Single+woof. Single+woof.  This Internet slang term refers to single people who are eager to enter a relationship but find it difficult to achieve the goal.
装	adornment; to adorn; dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack
你國	n. Your country. China. This Internet slang term is often used negatively and satirically, implying one’s unwillingness to side with the government on an issue.
科學上網	<Expression> Surf the web scientifically. This expression is a euphemism for accessing the blocked non-Chinese websites using VPNs. A synonym is 翻墻 [fān qiáng].
圍笑	v. & n. Surround+smile. Smile. This Internet slang term, an alternative of 微笑 [wēi xiào] “smile” because they sound alike, mimics the Taiwanese Mandarin accent.
以为	to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)
相愛相殺	<Expression> To love and kill each other. This Internet slang term humorously describes a de facto or assumptive love-hate relationship between two individuals.
老幹部	n. Old cadres. An “old cadre” is a male actor whose gravitas in conduct and speech seems a little outdated but is still very adorable for his crazy female fans.
他	he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); (literary) other
成语	Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation; idiom; proverb; saying; adage; CL:條|条[tiao2],本[ben3],句[ju4]
定	to fix; to set; to make definite; to subscribe to (a newspaper etc); to book (tickets etc); to order (goods etc); to congeal; to coagulate; (literary) definitely
省	(bound form) to scrutinize; (bound form) to reflect (on one's conduct); (bound form) to come to realize; (bound form) to pay a visit (to one's parents or elders)
省	(bound form) to scrutinize; (bound form) to reflect (on one's conduct); (bound form) to come to realize; (bound form) to pay a visit (to one's parents or elders)
省	(bound form) to scrutinize; (bound form) to reflect (on one's conduct); (bound form) to come to realize; (bound form) to pay a visit (to one's parents or elders)
运行	(of celestial bodies etc) to move along one's course; (fig.) to function; to be in operation; (of a train service etc) to operate; to run; (of a computer) to run
窗口	window; opening providing restricted access (e.g. customer service window); computer operating system window; fig. medium; intermediary; showpiece; testing ground
咆哮教主	n. Roaring hierarch. This Internet slang term is a nickname for Taiwanese actor Steve Ma because of his hysterical acting style at the early stages of his career.
腦斧	n. Brain+ax. Tiger. This Internet slang term mimics the pronunciation of 老虎 [lǎo hǔ] “tiger” with accents that do not differentiate between “h” and “f” in Pinyin.
寄刀片	v. To mail blades [to the screenwriter]. <ACG> This Internet slang term is often used to imply the audience’s dissatisfaction with the development of a storyline.
圆	circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (yuan); tactful; to make consistent and whole (the narrative of a dream or a lie)
怎麼破	Expression. How to+break. How can we solve [a problem]? How should I deal with [a situation]? This expression is used to play cute and provide/ask for a solution.
作用	to act on; to affect; action; function; activity; impact; result; effect; purpose; intent; (suffix) -ation, -tion etc, as in 抑制作用[yi4 zhi4 zuo4 yong4], inhibition
顏藝	n. The art of facial expression, especially the acting style featuring contorted facial expressions. This Internet slang term comes from the Japanese ACG culture.
致辞	to express in words or writing; to make a speech (esp. short introduction, vote of thanks, afterword, funeral homily etc); to address (an audience); same as 致詞|致词
盛世美顏	n. Prosperous era+beautiful face. Incredibly gorgeous good looks. This Internet slang term is often used to describe idols, but sometimes it is used sarcastically.
陳老師	n. Teacher Chen. This Internet slang term is a nickname for Hong Kong actor Edison Chan aka Chen Guanxi and Taiwanese singer-songwriter Cheer Chen aka Chen Qizhen.
认定	to maintain (that sth is true); to determine (a fact); determination (of an amount); of the firm opinion; to believe firmly; to set one's mind on; to identify with
花路	n. Flower+road. Borrowed from Korean pop culture, this Internet slang term is widely used by fans to wish their idols good luck—a smooth and successful career path.
犀利哥	n. Brother Incisive. A homeless man called Cheng Guorong who was dubbed “Brother Incisive” on China’s Internet in 2010 for his piercing gaze and outlandish outfits.
活捉一只	v. To catch a [cute person, animal, or thing] alive. This Internet slang term is often used humorously to describe a happy encounter or discovery online or offline.
秀	(bound form) refined; elegant; graceful; beautiful; (bound form) superior; excellent; (loanword) show; (literary) to grow; to bloom; (of grain crops) to produce ears
黑古	n. Black+Gu. The black Louis Koo. This Internet slang term is the nickname for Hong Kong actor Louis Koo after he deliberately got tanned to avoid putting on makeup.
雲吸貓	n. Cloud+sniff+cat. Related to 吸貓 [xī māo] “raise a pet cat,” this Internet slang term refers to cat lovers’ enjoying the cat pictures posted online by other people.
令	to order; to command; an order; warrant; writ; to cause; to make sth happen; virtuous; honorific title; season; government position (old); type of short song or poem
教科書般	adj. Textbook. Meeting the standards set by authorities or experts in the field. 教科書般的吻戏 [jiào kē shū bān de wěn xì] Textbook kissing scenes. Amazing kissing scenes.
乾貨	n. Dry+goods. Originated from the old-school robber vernacular referring to valuables, this Internet slang term now refers to valuable information or helpful advice.
人設	n. Short for 人物設定 [rén wù shè dìng] character design. This internet meme is typically used in the discussion of characters in Internet novels, TV series, and movies.
內心戲	n. The inner drama. This Internet slang term describes the unsaid thoughts and feelings that one has. The inner drama is often communicated through microexpressions.
语音	speech sounds; pronunciation; colloquial (rather than literary) pronunciation of a Chinese character; phonetic; audio; voice; (Internet) to voice chat; voice message
有没有	(before a noun) Do (you, they etc) have ...?; Is there a ...?; (before a verb) Did (you, they etc) (verb, infinitive)?; Have (you, they etc) (verb, past participle)?
中央空調	n. Central air conditioning and heating system. This Internet slang term refers to a man who behaves like a casanova while claiming to be in a committed relationship.
犬系男	n. Doglike man. A doglike man is athletic, outgoing, fun-loving, and a bit needy. This slang term comes from Japanese and is often used to label a type of boyfriends.
土酷	adj. Provincial+cool. This Internet slang term sounds like “too cool.” It refers to the style that accentuates the humor of mundane and unrefined clothes and objects.
棄坑	v. To abandon a pit. To stop posting new chapters of an Internet novel and leave it unfinished; to stop playing an online game; to give up a hobby because of boredom.
事业	undertaking; project; activity; (charitable, political or revolutionary) cause; publicly funded institution, enterprise or foundation; career; occupation; CL:個|个[ge4]
之间	(after a noun) between; among; amid; (used after certain bisyllabic words to form expressions indicating a short period of time, e.g. 彈指之間|弹指之间[tan2 zhi3 zhi1 jian1])
哦	sentence-final particle that conveys informality, warmth, friendliness or intimacy; may also indicate that one is stating a fact that the other person is not aware of
斜杠青年	n. Slash youth. Young people with multiple careers or identities. [Self-proclaimed] versatile young people. This Internet slang term is often used in self description.
可以說是	<Expression> It can be said that [very adj. ].  You can say it’s [very adj.]This expression became popular in 2017 to express one’s opinion about something or someone.
补刀	(gaming) to finish off a wounded combatant; (fig.) to attack sb who is already under fire; to pile on; (sphragistics) to retouch a seal after taking a first impression
直	straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters
意思	idea; opinion; meaning; wish; desire; interest; fun; token of appreciation, affection etc; CL:個|个[ge4]; to give as a small token; to do sth as a gesture of goodwill etc
鋼鐵直男	n. Steel+iron+straight+male. Iron straight men. This Internet slang term refers to heterosexual men who constantly fail to grasp their female partners’ emotional needs.
某寶	n. Some+treasure. This Internet slang term is a euphemism for Taobao. It is often used sarcastically or humorously without openly advertising the Alibaba shopping site.
硬	hard; stiff; solid; (fig.) strong; firm; resolutely; uncompromisingly; laboriously; with great difficulty; good (quality); able (person); (of food) filling; substantial
支	to support; to sustain; to erect; to raise; branch; division; to draw money; classifier for rods such as pens and guns, for army divisions and for songs or compositions
支	to support; to sustain; to erect; to raise; branch; division; to draw money; classifier for rods such as pens and guns, for army divisions and for songs or compositions
支	to support; to sustain; to erect; to raise; branch; division; to draw money; classifier for rods such as pens and guns, for army divisions and for songs or compositions
带	band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise
刀	knife; blade; single-edged sword; cutlass; CL:把[ba3]; (slang) dollar (loanword); classifier for sets of one hundred sheets (of paper); classifier for knife cuts or stabs
粉絲濾鏡	n. Fan filter. Rose-tinted glasses. This Internet slang term describes the phenomenon of seeing only the good things in one’s idols because you are infatuated with them.
Gay蜜	n. Gay+honey. [A woman’s] best gay friend. This Internet slang term is often used positively to describe a woman’s sophisticated and compassionate homosexual guy friend.
破	broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of
砸簡歷	Smash+resumes. Expression. Smash [us with your] resumes. This Internet slang term is used by employers on social media to invite job applicants to email resumes to them.
院长	the head of an institution whose name ends in 院[yuan4]; chair of a board; president of a university; department head; dean; premier of the Republic of China; CL:個|个[ge4]
小鮮肉	n. Little+fresh+flesh. Spring chicken. This Internet slang term refers to teens or young adults who are nice-looking (especially with impeccable skin) and look innocent.
懟天懟地	v. Diss+sky+diss+ground. To lash out at one’s opponents or detractors fearlessly. This Internet slang term is often used positively to praise one’s courage and eloquence.
啾咪	This Internet slang term is widely used in “啾咪^. <” by Taiwanese entertainers to act cute. The body language includes winking and the deaf’s gesture meaning “I love you.”
今日份	n. Today’s share [of something]. This Internet slang term is used as a cute alternative of “today’s…” or “…of the day.” It looks like a Japanese term but is actually not.
挺	straight; erect; to stick out (a part of the body); to (physically) straighten up; to support; to withstand; outstanding; (coll.) quite; very; classifier for machine guns
挺	straight; erect; to stick out (a part of the body); to (physically) straighten up; to support; to withstand; outstanding; (coll.) quite; very; classifier for machine guns
廢柴	n. Trashy+firewood. Loser. Schmuck. This Internet slang term describes a loser or worthless person who has the potential to be rich and realize his or her dreams one day.
挺	straight; erect; to stick out (a part of the body); to (physically) straighten up; to support; to withstand; outstanding; (coll.) quite; very; classifier for machine guns
森女	n. Mori (Forest) girl. In Japanese, a mori girl is a girl who looks like she lives in forests. She is dressed in earthy colors and pursues a simple and natural lifestyle.
機智如我	adv. Witty like me. This Internet slang term is used to precede crediting oneself with accomplishing a task or avoiding a contretemps. This term is often used ironically.
隐藏	to hide; to conceal; to mask; to shelter; to harbor (i.e. keep sth hidden); to hide oneself; to lie low; to nestle; hidden; implicit; private; covert; recessed (lighting)
打	to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from
打	to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from
打	to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from
我們家	n./adj. […Of] our home. This Internet slang term is often used before a star’s name. Fans often use the term to describe their idolset and/or the fan group they belong to.
麻竹	v. Sweet bamboo. Bookmarked. Saved. This Internet slang term is used when you save a social media post for later perusal. 麻竹 [má zhú] sounds like 碼住 [mǎ zhù] “bookmarked.”
流	to flow; to disseminate; to circulate or spread; to move or drift; to degenerate; to banish or send into exile; stream of water or sth resembling one; class, rate or grade
作	to do; to engage in; to write; to compose; to pretend; to feign; to regard as; to consider to be; to be; to act the part of; to feel (itchy, nauseous etc); writings; works
五毛黨	n. The 50 Cent Party. Internet  commentators who are rumored to be hired by Chinese authorities in an attempt to manipulate public opinion to the benefit of the government.
媽賣批	<Expletive>This is a sexist expletive phrase from the Chongqing dialect. It means “Your mom is a prostitute.” The alternatives are mmp [pinyin acronym] and X賣批 [mā mài pī].
站臺	v. Stand+stage. To campaign for [someone/something]. This Internet slang term is often used in sentences like “A person appeared at the event to root for someone/something.”
錘哥	n. Hammer+brother. Brother Hammer. This Internet slang term is an affectionate nickname for Australian actor Chris Hemsworth because of his titular role in the movie “Thor.”
黑化	v. To become black. (Of one’s public image) to deteriorate as negative news surfaces. This Internet slang term also refers to a good guy turning into a bad guy in a TV show.
雷	thunder; (bound form) (military) mine, as in 地雷[di4 lei2] land mine; (coll.) to shock; to stun; to astound; (Tw) (coll.) spoiler; (Tw) (coll.) to reveal plot details to (sb)
这	(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)
菊外人	n. Ju+outside+person. The outsiders. People who don’t know who Wang Ju (trainee on Produce 101 (China)) is but have been surrounded by messages about voting for Wang Ju. ​​​​
洗地	to clean the floor; (Internet slang) (lit.) to wash (the blood) off the floor; (fig.) to cover up evidence of sb's wrongdoing; to defend (a wrongdoer); (coll.) to carpet-bomb
这	(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)
朝陽群眾	n. People of Chaoyang District [in Beijing]. Residents of this area are famous crime-busters who actively report suspicious activity to the police to ensure community safety.
貓奴	n. Cat+slave. This Internet slang term is a playful nickname for cat owners because they sweat and toil to serve their pet cats. It is often used self-mockingly by cat owners.
包	to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet; CL:個|个[ge4],隻|只[zhi1]
霸道	the Way of the Hegemon; abbr. for 霸王之道; despotic rule; rule by might; evil as opposed to the Way of the King 王道; overbearing; tyranny; (of liquor, medicine etc) strong; potent
王之蔑視	n. The King’s contempt. This Internet slang term is often used to describe one’s righteous expression of contempt, usually coupled with a picture or emoji of the same caption.
慈母笑	n. The smile of a warm and caring mother. This Internet slang term is often used to describe a fan’s indulging smile at the idol or a celebrity’s indulging smile at a co-star.
初心	(one's) original intention, aspiration etc; (Buddhism) "beginner's mind" (i.e. having an attitude of openness when studying a subject just as a beginner in that subject would)
標題黨	n. Title+party. Clickbait titles. Sensational article titles whose main purpose is to attract clicks or reads. Such titles may not be very relevant to content of the articles.
活动	to exercise; to move about; to operate; to use connections (personal influence); loose; shaky; active; movable; activity; campaign; maneuver; behavior; CL:項|项[xiang4],個|个[ge4]
乱	in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary
抓馬	adj. Dramatic. This Internet slang term sounds like the English word “drama.” It is often used to describe someone who habitually responds to situations in a melodramatic way.
确定	definite; certain; fixed; to fix (on sth); to determine; to be sure; to ensure; to make certain; to ascertain; to clinch; to recognize; to confirm; OK (on computer dialog box)
座	seat; base; stand; (archaic) suffix used in a respectful form of address, e.g. 师座|师座[shi1 zuo4]; CL:個|个[ge4]; classifier for buildings, mountains and similar immovable objects
手賤	adj. Hand+base. (Of hands) base. You chastise your hand or fingers for being base because you clicked on something that is so gross or scary that you regret being inquisitive.
灌水	to irrigate; to pour water into; to inject water into meat to increase its weight (plumping); to cook the books; to post low-value messages (small talk etc) on Internet forums
新技能	n. New skill. This Internet slang term is often followed by “快get” [kuài get] which means “get [the new skill] quickly”. The skills discussed are often inspired by creativity.
韭菜	garlic chives (Allium tuberosum), aka Chinese chives; (fig.) retail investors who lose their money to more experienced operators (i.e. they are "harvested" like garlic chives)
帮	to help; to assist; to support; for sb (i.e. as a help); hired (as worker); side (of pail, boat etc); outer layer; upper (of a shoe); group; gang; clique; party; secret society
三連	n. A string of three [things]. This Internet slang term is used to describe a string of three things. For example, 素質三連 [sù zhì sān lián] means “a string of three curse words.”
雨神	n. Rain God. This Internet slang term is a nickname for Jam Hsiao or Xiao Jingteng because his presence in new cities during the concert tour tended to coincide with downpours.
毀童年	adj. Destroy+childhood. (Of things) leading to the disillusionment about childhood. This Internet slang term is often used to describe a parody of childhood idols or favorites.
以夢為馬	<Expression> [With one’s] dream as a horse. Originally the title of a poem by Hai Zi, this Internet slang term is now used by hipsters to show their dedication to their dreams.
倒	to invert; to place upside down or frontside back; to pour out; to tip out; to dump; inverted; upside down; reversed; to go backward; contrary to what one might expect; but; yet
金	gold; chemical element Au; generic term for lustrous and ductile metals; money; golden; highly respected; one of the eight categories of ancient musical instruments 八音[ba1 yin1]
放飛自我	<Expression> Allow oneself to take off. This Internet slang term is used humorously to describe someone who behaves with careless abandon. It can be either positive or negative.
三石弟弟	n. Three-stone Brother. This Internet slang term is an affectionate nickname for Chinese actor Wu Lei because the character Lei (磊 [lěi]) consists of three stones (石 [shí]). ​​​​
大清已亡	<Expression> The Qing dynasty has already perished. This expression is often used to criticize outmoded ways of thinking and behaving, such as authoritarianism and misogyny. ​​​​
狗糧	n. Dog food. This neologism refers to the self-pity of single people (humorously dubbed “single dogs“) triggered by the public displays of affection by couples online or offline.
擦媽	n. Mother Swipe. This Internet slang term is a nickname for American entertainer Christina Aguilera because her initials are CA. The Chinese character 擦 [cā] means “to swipe.” ​​​
丙	third of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; third in order; letter "C" or Roman "III" in list "A, B, C", or "I, II, III" etc; ancient Chinese compass point: 165°; propyl
卓伟视角	n. Zhuo Wei’s perspective. [Seen from] Zhuo Wei’s perspective. Zhuo Wei is a Chinese paparazzo. This Internet slang term is used to describe a photo or video shot from a distance.
后天	the day after tomorrow; life after birth (the period in which one develops through experiences, contrasted with 先天[xian1 tian1]); acquired (not innate or congenital); a posteriori
渣渣輝	n. Trashy+Hui. Trashy Hui. This Internet slang term is a nickname for Hong Kong actor Nick Cheung Ka Fai or Zhang Jiahui because that’s the way he pronounced his name in Mandarin.
靠	to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar); traditional military costume drama where the performers wear armor (old)
手	hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]
人畜无害	adj. Doesn’t not do harm to either human beings or animals. Innocuous. This Internet slang term is used to describe a person who is kind and innocent and maybe occasionally naive.
暗中觀察	v. To observe furtively. This Internet slang term is widely seen in stickers to reveal that one is a lurker and to remind others to behave themselves (such as not being too cocky).
早F晚E	Fighting in the Morning, Emo in the Evening. Waking up dedicated to “fighting” for a better life, by bedtime they’re so exhausted they just want to lie down and listen to sad music.
再	again; once more; re-; second; another; then (after sth, and not until then); no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)
原地爆炸	Expression. Implode right where you are. This expression is used to indicate one’s dissatisfaction with or anger at a person’s statement or action. It is a euphemism for “Get lost.”
尬吹	v. To laud lavishly to the point where even the audience feel embarrassed. This Internet slang term describes some fans’ fulsome praises of their idols in order to convert outsiders.
拨	to push aside with the hand, foot, a stick etc; to dial; to allocate; to set aside (money); to poke (the fire); to pluck (a string instrument); to turn round; classifier: group, batch
反	contrary; in reverse; inside out or upside down; to reverse; to return; to oppose; opposite; against; anti-; to rebel; to use analogy; instead; abbr. for 反切[fan3 qie4] phonetic system
貓系男	n. Catlike man. A catlike man is independent, artistic, gentle, and a bit effeminate. This slang term comes from Japanese. This slang term is often used to label a type of boyfriends.
佛系分手	n. Buddhist+sect+breakup. The Buddhist breakup. This Internet term refers to the painless and peaceful breakup. The couple do not experience nervous breakdowns or hostile retribution.
科科	n. Taiwanese Internet slang term meaning 呵呵 [hē hē], the sound of a smirk or an adorable giggle. Also, the term recently became the nickname of Chinese table tennis player Zhang Jike.
舉高高	v. Hoist+high+high. To hoist [often one’s intimate partner] with both hands above one’s head to show affection. This Internet slang term is often used humorously to express one’s love.
贴	to stick; to paste; to post (e.g. on a blog); to keep close to; to fit snugly; to subsidize; allowance (e.g. money for food or housing); sticker; classifier for sticking plaster: strip
轟趴	n. Bomb+lie on one’s stomach. Home party. This Internet slang term is a translation of the English term “home party” because 轟 [hōng] sounds like “home” and 趴 [pā] sounds like “party.”
进	to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound
提	to carry (hanging down from the hand); to lift; to put forward; to mention; to raise (an issue); upwards character stroke; lifting brush stroke (in painting); scoop for measuring liquid
水果姐	n. Fruit+sister. This Internet slang term is a nickname for Katy Perry because of her colorful wardrobe. She is also famous for the fruity outfit in the Super Bowl halftime performance.
血槽已空	<Video game terminology> The blood groove is already empty. Death. This Internet slang term is often used to describe how people are swept off their feet by the pictures of their idols.
上	(bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above
出场	(of a performer) to come onto the stage to perform; (of an athlete) to enter the arena to compete; (fig.) to enter the scene (e.g. a new product); (of an examinee etc) to leave the venue
耐撕	adj. Able to endure tearing. 1) Nice; 2) resilient. This Internet slang term was made popular by Chinese reality TV show Keep Running which is famous for its game of “tearing name tags.”
何老師	n. Teacher He. This Internet slang term is a nickname for He Jiong, a Chinese television host, singer, actor, director and a former Arabic lecturer in Beijing Foreign Studies University.
科	branch of study; administrative section; division; field; branch; stage directions; family (taxonomy); rules; laws; to mete out (punishment); to levy (taxes etc); to fine sb; CL:個|个[ge4]
小李子	Little Lee, an affectionate nickname for Leonardo Dicaprio. It is also a common nickname for an eunuch whose family name is Li in TV series about the imperial palace of the Qing dynasty.
交代	to transfer (duties to sb else); to give instructions; to tell (sb to do sth); to explain; to give an account; to brief; to confess; to account for oneself; (jocular) to come to a bad end
精	essence; extract; vitality; energy; semen; sperm; mythical goblin spirit; highly perfected; elite; the pick of sth; proficient (refined ability); extremely (fine); selected rice (archaic)
按	to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment
早C晚A	a popular skincare routine involving the application of vitamin C in the morning and vitamin A at night, and which is sometimes also used to mean “coffee in the morning, alcohol at night.”
先森	n. First+forest. Sir, mister. This Internet slang term is a phonetic deviation of 先生 [xiān shēng] with a southern accent. The use of this slang term indicates playfulness and/or affection.
搭	to put up; to build (scaffolding); to hang (clothes on a pole); to connect; to join; to arrange in pairs; to match; to add; to throw in (resources); to take (boat, train); variant of 褡[da1]
馬殺雞	n. Horse+kill+chicken. Massage. This Internet slang term mimics the pronunciation of the English word “massage.” It is also a funny translation of the Japanese word  マッサージ “masaji/masachi.”
好奇寶寶	n. Curious baby. This Internet slang term is often used to describe an adult (often one’s idol) of boundless curiosity. The childlike quality is celebrated and adored.  #520告白钟汉良##科沃斯管家机器人#
可鹽可甜	adj. Can+salt+can+sweet. Able to be cool and imposing as well as gentle and adorable. This Internet slang term is used to describe celebrities who are able to display a wide range of styles.
入手	to begin (with ...) (typically used in a structure such as 從|从[cong2] + {noun} + 入手[ru4 shou3]: "to begin with {noun}; to take {noun} as one's starting point"); to receive; to obtain; to buy
走	to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning)
肝	liver; CL:葉|叶[ye4],個|个[ge4]; (slang) to put in long hours, typically late into the night, playing (a video game); (of a video game) involving a lot of repetition in order to progress; grindy
主角光環	n. Main character+halo. The halo of the main character. This Internet slang term refers to the pattern in games, films and TV shows that the main characters are unusually lucky in adversity.
求錘得錘	. Beg+hammer+get+hammer. This expression means “if you ask for a hammer [evidence], you will get a hammer [evidence].” It is often used before revealing the irrefutable evidence for a rumor.
启蒙	to instruct the young; to initiate; to awake sb from ignorance; to free sb from prejudice or superstition; primer; enlightened; the Enlightenment; Western learning from the late Qing dynasty
次	next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time
次	next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time
次	next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time
岔	fork in road; bifurcation; branch in road, river, mountain range etc; to branch off; to turn off; to diverge; to stray (from the path); to change the subject; to interrupt; to stagger (times)
环节	(zoology) segment (of the body of a worm, centipede etc); (fig.) a part of an integrated whole: aspect (of a project), element (of a policy), sector (of the economy), stage (of a process) etc
暴露年齡	v. To give away one’s age. This Internet slang term is often used when mentioning something that happened a long time ago and pokes fun at the speaker’s age. It is often used in self-mockery.
在家	to be at home; (at a workplace) to be in (as opposed to being away on official business 出差[chu1chai1]); (Buddhism etc) to remain a layman (as opposed to becoming a monk or a nun 出家[chu1jia1])
目測要火	<Expression> Visual estimate+will go viral. By visual estimate, this will go viral. This expression is often used humorously to discuss how likely something will cause a stir on the Internet.
炒雞	adj. Stir-fry+chicken. This Internet slang term means 超級 [chāo jí] “super, extremely.” Since the vegetarians and vegans in China don’t eat chicken anymore, they put the dish name to good use…
碎成渣渣	v. To break into smithereens. This Internet slang term is often used to describe a broken heart or the challenged worldview, but exaggeration, humor, and/or sarcasm are involved in the usage.
后顾之忧	fears of trouble in the rear (idiom); family worries (obstructing freedom of action); worries about the future consequences; often in negative expressions, meaning "no worries about anything"
狼民	n. Wolf+people. Lustful citizens. A nickname for Wallace Chung’s fans 良民 “good citizens”. The nickname was created based on some Wallace fans’ unapologetic vehement admiration for their idol.
滞留	(of a person) to remain in (a place) (due to circumstances that prevent one leaving); to be stranded; (of sth that would typically dissipate, e.g. floodwater, pollutants) to remain; to linger
下	down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action
自幹五	n. Self+do+five. The self-motivated 50 Cent Party. Self-motivated Internet commentators who defend the government. This Internet slang term is related to 五毛黨 [wǔ máo dǎng] “The 50 Cent Party.”
煞筆	n. While the original meaning of the word is “ending of a piece of writing;concluding line of an article,” as an Internet slang term, it means “jackass. ” It is a euphemism for SB/傻逼 [shǎ bī].
下	down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action
下	down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action
有範	adj. Having great panache, radiant with confidence, displaying distinctive and stylish elegance. This Internet slang term praises one’s appearance, fashion sense, mannerisms, and/or character.
雨露均霑	v. To bestow benefits equally. Do not play favorites. This Internet slang term is used to 1) resist unwanted attention, 2) request equal treatment, or 3) brag about the attention one receives.
親媽粉	n. Birth mother fans. This Internet slang term refers to female fans who are significantly older than their male idol or who are concerned about their idol’s well-being as if they were his mom.
狗頭	n. Dog+head. This Internet slang term refers to the emoticons featuring the head of a dog. The emoticon is often used at the end of a sentence to signify that the remark is ironic or sarcastic.
尖	pointed; tapering; sharp; (of a sound) shrill; piercing; (of one's hearing, sight etc) sharp; acute; keen; to make (one's voice) shrill; sharp point; tip; the best of sth; the cream of the crop
丁日	n. Dick+fxxk. This Internet slang term is a derogatory nickname for Justin Biber because the two Chinese characters look like his initials JB which is the Pinyin acronym for 雞巴 [jī bā] “penis.”
鬼	disembodied spirit; ghost; devil; (suffix) person with a certain vice or addiction etc; sly; crafty; resourceful (variant of 詭|诡[gui3]); one of the 28 constellations of ancient Chinese astronomy
霉霉	n. Mold Mold or Bummed Bummed. This Internet slang term is a loving nickname for Taylor Swift. Her Chinese fans feel sorry for her because her hits used to peak at No.2 on the Billboard Hot 100.
字典	Chinese character dictionary (containing entries for single characters, contrasted with a 詞典|词典[ci2 dian3], which has entries for words of one or more characters); (coll.) dictionary; CL:本[ben3]
霸气外露	v. To be brimming with swagger. This Internet slang term is sometimes used sarcastically to refer to someone who blatantly violates social norms or makes a showy display of his or her abilities.
到	to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough
賽金花	n. Surpass+gold flower. Surpass the gold flower. This Internet slang term is an affectionate nickname for American comedian, writer, political commentator, actor, and television host Seth Meyers.
赶	to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until; by (a certain time)
禁慾系	n. Abstinent+sect. This Internet slang term describes the nice-looking and refined heterosexual male celebrities whose aloofness and reticence make them look as if they were not interested in sex.
