好的	OK
场合	situation
残疾	disabled
耽误	delay
难过	sad
重建	rebuild
传递	transmit
概括	summarize
传出	transmit outwards
打架	fight
明白	clear
活泼	lively
参照	consult
残留	remain
节约	economize
没有	not have
专注	focus
防范	guard against
海关	customs
满足	satisfy
好转	improve
轻视	contempt
竞赛	compete
老太太	elderly lady
叮嘱	urge
拉开	pull open
督促	supervise
流通	circulate
恩怨	grudges
陆续	successively
发呆	stare blankly
法人	corporation
理财	manage wealth
期间	period
西医	Western medicine
隔阂	misunderstanding
侵犯	violate
共鸣	resonance
退出	withdraw
网络	network
无所谓	indifferent
形象	image
通红	red
退票	refund
混淆	obscure
外部	external
偶像包袱	image burden
渣男	jerk
兼职	moonlighting
業界良心	industry conscience
剪彩	cut the ribbon
足球	soccer
迎来	welcome
应对	handle
嘴巴	mouth
警惕	alert
救济	emergency relief
自杀	suicide
遵守	comply
埋怨	complain
盘旋	spiral
荣誉	honor
声势	influence
私自	private
文物	cultural relic
新陈代谢	metabolism
迎面	head-on
振奋	inspire
震撼	shock
制止	curbing
摆动	sway
笔记本	notebook
不客气	you're welcome
不得了	disastrous
耳朵	ear
本钱	capital
动作	movement
对于	regarding
反正	anyway
感谢	gratitude
大多	most
关键	crucial
发动	launch
典型	typical
动态	dynamic
结账	pay the bill
构造	structure
光盘	compact disc
难受	unwell
上课	attend class
摩托车	motorcycle
乒乓球	table tennis
交警	traffic police
缺少	lack
难听	unpleasant
机械	machinery
剧本	script
绝望	despair
通知	notify
脸盆	washbowl
哆嗦	tremble
委屈	feel wronged
物质	matter
想念	miss
义务	duty
晚报	evening newspaper
专心	focus
以下	below
中餐	Chinese meal
研制	research and manufacture
华裔	ethnic Chinese
鑄鐵	cast iron
用心	diligent
摆着	existence
低调	low-key
声调	tone
唠叨	prattle
拳头	fist
猜想	guess
申报	report
泄露	leak
行政	administration
须知	key information
悬念	suspense
振兴	revive
逐年	year after year
挨打	take a beating
办公	handle official business
巴不得	eager
一起	together
北极	North Pole
工具	tool
打印	print
装修	decorate
创造	create
街道	street
感想	impressions
布局	arrangement
热情	enthusiastic
健身	exercise
文化	culture
新鲜	fresh
舅舅	maternal uncle
赶不上	can't keep up with
川流不息	unending flow
床单	bed sheet
吹牛	talk big
供给	provide
难免	hard to avoid
关联	related
淡季	off season
淡水	fresh water
点缀	decorate
老百姓	ordinary people
白毛女	The White Haired Girl
性格	nature
开设	offer
一致	consistent
仔细	careful
影片	movie
拖鞋	sandals
鲜明	bright
箱子	suitcase
研究生	graduate student
药物	medication
学科	subject
见闻	experience
顏值爆表	cute
自觉	conscious
难怪	no wonder
追求	pursue
中断	interrupt
阻碍	obstruct
澳洲	Australia
力争	strive
唯独	only
排斥	reject
迫不及待	impatient
潜水	dive
磨砂	scrub
仁慈	kind
高管	executive
斯文	refined
滔滔不绝	talkative
调剂	adjust
通缉	arrest
斟酌	consider
办法	means
帮忙	help
玻璃	glass
逛街	window-shop
聪明	intelligent
前面	ahead
不时	occasionally
现在	now
附近	nearby
定檔	release
事情	affair
小姐	miss
创新	innovation
广告	advertising
习惯	habit
巨大	huge
来得及	in time
跟前	by one's side
官方	official
答辩	to defend
缺点	shortcoming
课程	course
降价	to reduce price
受伤	to be injured
摔倒	to fall down
主意	plan
吸取	to absorb
反感	dislike
冷水	cold water
前后	around
上下	up and down
谈判	negotiate
所在	location
销售	sell
经商	trade
造型	modeling
一次性	disposable
装置	installation
精益求精	constantly improve
中央	central
刊登	publish
朴素	plain
迁就	yield to
特长	special ability
熏陶	influence
淹没	submerge
栽培	cultivate
宝贵	valuable
保健	health care
大概	roughly
从来	always
不安	unstable
发烧	have a fever
脫飯	unfan
标本	specimen
传达	transmit
不择手段	unscrupulous
布告	announce
积极	active
否定	negate
教授	professor
脫粉	unfan
爷爷	grandfather
迟钝	sluggish
富有	rich
规划	plan
脾气	temperament
缓解	alleviate
白左	naive
惦记	concerned
讨厌	dislike
东道主	host
数码	digital
动荡	unrest
真的	really
落实	implement
应聘	apply
期望	expectation
种类	category
盖章	seal
收回	revoke
切实	feasible
标点	punctuation
院子	courtyard
吸管	straw
为期	lasting
眼光	foresight
往返	round trip
上火	angry
华尔街	Wall Street
收缩	shrink
外向	extroverted
凶恶	fierce
正经	serious
本土	native
餐厅	restaurant
边缘	edge
不见	disappeared
持续	continue
电话	telephone
节目	program
还有	remain
辞典	dictionary
出面	appear
改正	correct
而且	moreover
对象	target
爬山	climb
光明	light
高速	high speed
恩人	benefactor
进步	progress
惊讶	amazed
基地	base
外边	outside
开业	open
学院	college
島國	Island nation
考察	inspect
误会	misunderstand
礼拜	week
效果	effect
由于	due to
老乡	fellow townsman
偶然	occasional
配套	matching
录像	videotape
评论	comment
其余	the rest
认得	recognize
作文	essay
时事	current affairs
一家人	family
维护	defend
未来	future
辅导	guidance
显著	remarkable
挂号	register
拐弯	turn
弯曲	bend
转变	change
著作	write
只不过	only
局限	limit
治理	govern
留恋	reluctant
朴实	plain
雪上加霜	worsen
压岁钱	gift money
装卸	load/unload
着手	start
作弊	cheat
显眼包	class clown
凹凸	concave/convex
包裹	wrap
标志	sign
词典	dictionary
伴随	accompanied
成熟	mature
创作	create
对手	opponent
出访	visit
便宜	cheap
存款	deposit
清楚	clear
关机	turn off
查获	seize
楼上	upstairs
经历	experience
钞票	paper money
干脆	candid
个别	individually
奉献	offer
出身	origin
脑袋	head
冻结	freeze
近日	recently
矛盾	contradiction
研究	research
方位	direction
签名	signature
以后	future
通信	communication
头脑	brains
宿舍	dormitory
寒暄	exchange greetings
晚点	delayed
荒唐	preposterous
推出	release
籍贯	native place
家喻户晓	well known
学员	student
揭露	expose
增进	promote
历代	successive generations
目睹	witness
凝固	freeze
气势	imposing manner
权衡	consider
神气	impressive
完备	faultless
兴高采烈	happy and excited
兴致勃勃	exhilarated
汹涌	surge
压榨	press
一如既往	as before
隐瞒	conceal
自力更生	self-reliance
爱护	cherish
传统	tradition
关于	pertaining to
告别	leave
好处	benefit
待会儿	later
母语	native language
接受	accept
一般	ordinary
高度	height
赤道	equator
公安	public security
回信	reply
孔明灯	sky lantern
发育	develop
来往	come and go
粉色	pink
展开	unfold
上来	come up
贵族	aristocrat
后代	descendant
同胞	compatriot
宣传	disseminate
图书	books
陷入	sink into
展现	unfold
做梦	dream
开除	expel
勘探	explore
口气	tone
摸索	grope
逆行	go against
岂有此理	preposterous
生物	organism
信赖	trust
昼夜	day and night
布置	arrange
补考	makeup exam
补习	take extra lessons
唱片	gramophone record
环境	environment
初中	junior high school
传来	come through
此致	polite salutation
合格	meet the standard
解释	explanation
建设	to build
对外	external
行李箱	suitcase
干扰	disturb
来不及	there's not enough time
冷静	calm
红包	bonus
后头	behind
价值	value
交易	trade
任务	mission
平安	safe
一些	some
杰出	outstanding
议论	comment
腐蚀	corrosion
内外	inside and outside
握爪	shake hands
好好儿	in good condition
十足	ample
手段	method
上演	to stage
推开	to push open
行列	formation
表情包	image macro
通话	phone call
挥霍	squander
嘴欠	prone to say sth nasty
高冷	reserved
一身	whole body
主导	leading
空隙	gap
中期	middle
习惯用语	idiom
好坏	good or bad
虐待	mistreat
判决	judgment
谴责	denounce
融洽	harmonious
疏远	drift apart
熄灭	go out
心血	care
掩护	shield
永恒	eternal
滋润	moist
保护	protect
除了	besides
采访	interview
鞭策	spur on
啤酒	beer
对应	correspond
接待	receive
垃圾桶	rubbish bin
更换	replace
固定	fix
欢乐	gaiety
稿子	draft
教练	instructor
大肆	wantonly
寶媽	Baby+mom
南方	south
俱乐部	club
领导	lead
没错	that's right
只好	have to
名额	quota
爆表	off the charts
稿件	piece of writing
随手	conveniently
特征	characteristic
上台	rise to power
熟肉	Cooked meat
完了	finished
叨逼叨	gabble
遗传	heredity
线路	line
取關	unfollow
约束	restrict
多元	multi-
萌芽	sprout
抄袭	plagiarize
热泪盈眶	moved to tears
人性	human nature
神态	appearance
使命	mission
释放	release
喜闻乐见	well received
涌现	emerge
半天	quite a while
不如	inferior
上班	go to work
觉得	feel
关上	close
冲击	attack
复制	copy
不愧	worthy
抖腿黨	jittery legs
对抗	withstand
高等	high-level
贡献	contribute
亲戚	relative
开展	launch
提前	in advance
请客	entertain
随时	at any time
优点	merit
手欠	prone to touch
錢妞	Kesha
权利	right
搜索	search
顾虑	misgivings
总统	president
蛇精病	crazy person
计较	bother about
早晚	some time
莫名其妙	baffling
窍门	trick
上游	upper reaches
提炼	extract
惋惜	regret
遥控	remote control
多少	how much
本来	original
变化	change
成绩	achievement
绑架	kidnap
变换	transform
说话	speak
查询	check
廠牌	label
创业	entrepreneurship
辩护	defend
首选	first choice
结构	structure
老人	elderly
交通	traffic
结论	conclusion
高光時刻	glamorous moment
关怀	care
晚饭	dinner
那会儿	at that time
开发	develop
硕士	master's degree
实验	experiment
说服	persuade
动静	movement
面积	area
尬聊	awkward conversation
试验	experiment
恨不得	wishing
累覺不愛	tired
针对	target
奇葩	weirdo
一贯	consistent
正宗	orthodox
内幕	inside story
融化	melt
肆无忌惮	unrestrained
瓦解	collapse
预兆	omen
再接再厉	persist
琢磨	ponder
按照	according to
比赛	competition
包括	comprise
差不多	almost
当然	certainly
表明	indicate
准备	preparation
传说	legend
播种	grow
搭配	pair up
技术	technology
分配	distribute
开心	happy
功课	homework
洗白	whitewash
秘密	secret
好友	close friend
合成	compose
笑话	joke
攻击	attack
高原反应	altitude sickness
名誉	fame
深度	depth
区分	differentiate
耽美	boys' love
剩女	"leftover woman"
关照	take care
现场	the scene
限制	restrict
研究所	research institute
压迫	oppress
召开	convene
教养	educate
游玩	have fun
最初	initial
咨询	consult
立足	stand
拆二代	house removal beneficiaries
受罪	to endure
陷害	to frame
烟花爆竹	fireworks
引用	to quote
阵容	lineup
保存	to conserve
北方	north
不幸	misfortune
入畫	to be captured
大量	great amount
尺寸	size
情况	circumstances
刹那	an instant
纪念	to commemorate
地圖炮	discrimination
客厅	living room
酒店	hotel
照顾	to take care of
落后	to fall behind
考生	exam candidate
灰色	gray
机构	organization
得罪	to offend
随便	as one wishes
飞禽走兽	birds and animals
业余	amateur
楼房	multi-story building
梅花	plum blossom
尊重	to respect
周到	thoughtful
柚子	pomelo
幻灯片	slide
点心	pastry
天下	the whole world
向上	upward
影子	shadow
信用	trustworthiness
一模一样	exactly the same
展览	to exhibit
开采	extract
照样	as before
枯萎	wither
冷漠	indifference
携带	carry
抱怨	complain
保险	insurance
超市	supermarket
大楼	building
出口	exit
出口	export
层次	level
颜色	color
刺激	stimulate
躺平	opt out
大会	meeting
大爷	uncle
认真	conscientious
计划	plan
叔叔	uncle
中介	intermediary
衬托	highlight
一会儿	moment
利用	exploit
那么	so
地域炮	berate
敌视	hostile
恋爱	love
两岸	both sides
象征	symbol
声明	declare
疙瘩	pimple
一会儿	moment
投诉	complaint
酸甜苦辣	joys and sorrows
推进	advance
调节	adjust
魔性	quirky
制度	system
医药	medical care
津津有味	interested
总体	overall
狼狈	in a difficult situation
千方百计	by every possible means
玩弄	to toy with
朝气蓬勃	full of energy
背景	background
比较	comparatively
采取	to adopt
地方	area
道理	reason
弊端	systemic problem
从事	to engage in
词汇	vocabulary
经常	frequently
观念	notion
儿女	children
困难	difficult
动漫	cartoons
数量	quantity
递增	increasing
垃圾	trash
听说	to hear
约会	appointment
绿化	to make green
示范	to demonstrate
修复	to restore
选修	elective
引导	to guide
酱紫	dark reddish purple
征求	to solicit
暂停	to suspend
解体	to disintegrate
冷落	to treat coldly
全球暖化	global warming
容纳	to accommodate
无精打采	listless
闭幕	the curtain falls
不行	won't do
不论	regardless of
土味情話	corny
努力	hard-working
队伍	ranks
一边	one side
关闭	to close
临时	temporary
加入	to join
进一步	further
短促	brief
突出	prominent
摩擦	friction
粗來	come out
之后	after
战斗	fight
勉强	reluctant
内向	reserved
体谅	empathize
无理取闹	provocative
演习	drill
毕竟	after all
材料	material
不成	unable
别扭	awkward
马上	immediately
不惜	not spare
发送	transmit
小狼狗	boyfriend
新專	new album
呈现	appear
立刻	immediate
明确	clear-cut
年代	era
国会	parliament
留下	leave behind
进口	import
捐款	donate
修理	repair
年前	before year end
附属	subsidiary
嗨p	happy
随意	voluntary
推动	promote
休闲	leisure
要好	close friends
之一	one of
狼吞虎咽	gorge
牵制	control
心甘情愿	willing
保证	guarantee
背包	knapsack
本人	myself
背心	vest
对不起	sorry
倒是	actually
二手	second-hand
阐述	expound
一直	continuously
构成	constitute
另外	additional
论文	paper
木头	blockhead
膨脹	big-headed
事实上	in fact
留学生	exchange student
克服	overcome
反面	reverse
优惠	privilege
复活	revive
收获	harvest
谈话	conversation
套路	routine
危害	jeopardize
寵溺	spoil
学会	learn
有关	related
酒精	alcohol
清淡	light
进取	initiative
包容	tolerance
翻山越岭	hardships
让步	concede
伤脑筋	headache
示威	demonstrate
镶嵌	inlay
循序渐进	progress
冤枉	unjust
傍晚	evening
姑娘	girl
层出不穷	innumerable
交换	exchange
校长	president
经典	classic
过渡	transition
继承	inherit
颠倒	reverse
堕落	degrade
决策	decision
意见	opinion
泛滥	overflow
直接	direct
母鸡	hen
嘴炮	mouth off
全力	all-out
圈粉	win over
中医	Chinese medicine
下去	continue
缓和	ease
先后	first and last
也好	may as well
均匀	even
分分鐘	instantly
指定	appoint
命名	name
实事求是	practical
闲话	gossip
争先恐后	striving
除非	unless
比喻	metaphor
贬低	belittle
结果	outcome
家长	parent
过度	excessive
小学生	student
加盟	join
温柔	gentle
文具	stationery
分寸	propriety
左右	control
组织	organize
有人	someone
合算	worthwhile
相关	related
昏迷	coma
过期	overdue
心态	attitude
养老	retirement
這貨	dude
应急	emergency
专辑	album
扩张	expansion
穿不出去	unwearable
扭转	reverse
陶醉	infatuated
媳妇	wife
作业	homework
打算	plan
编制	compile
补贴	subsidy
发现	discover
同学	classmate
低分飄過	narrowly pass
畅通	unimpeded
吃力	strenuous
果实	fruit
买卖	business
波恩	Bonn
赶上	catch up
恢复	recover
大不了	at worst
题目	subject
疗养	recuperate
冬令时	standard time
母子	parent and subsidiary
入学	enter school
轰动	sensation
通报	notify
铜牌	bronze medal
自律	self-discipline
指挥	conduct
精华	quintessence
麻痹	paralysis
人为	artificial
朋友圈	Moments
小心翼翼	cautious
疑惑	doubt
周折	twists and turns
周转	turnover
报名	sign up
服务员	waiter
先生	gentleman
答应	promise
策划	plot
长短	merits and demerits
方案	plan
估计	estimate
大妈	aunt
规律	rule
集体	collective
胡子	beard
加上	plus
痛快	delighted
相当	quite
想法	notion
脫線	derail
西藏	Tibet
先进	advanced
心疼	feel sorry for
增值	appreciate
立方	cube
相对	relatively
强制	force
日益	increasingly
衰退	decline
成分	component
大众	popular
根本	fundamental
广大	widespread
点名	mention by name
动摇	waver
到期	expire
纪录	record
充实	enrich
腦殘粉	zealous fans
迷路	lose the way
空降	airborne
捣乱	disturb
得天独厚	exceptional advantages
路线	route
黑草	Wallace Chung’s male fans
用功	diligent
娱乐	entertain
气象	meteorological
恰好	coincidence
设想	imagine
议题	topic
转身	turn round
指示	instruct
你呀	express dissatisfaction
埋没	overlook
慢性	chronic
涂抹	paint
争气	work hard
正在	just at
对面	opposite
常规	conventions
电台	radio station
沉闷	oppressive
喘气	breathe deeply
目录	catalog
实在	really
数字	number
名胜	scenic
上市	listed
胡乱	careless
转动	rotate
灵感	inspiration
师范	teacher-training
压抑	repress
打扮	dress
反应	react
管理	manage
骨头	bone
分成	divide
消化	digest
区别	difference
过时	outdated
失败	fail
抵制	resist
考核	examine
填空	fill in
球场	stadium
原来	original
分歧	divergent
资料	data
好客	hospitable
夹杂	mix
打扮	decorate
刹车	brake
以至	down to
执着	attached
不得不	have to
西皮	Chinese opera
不要紧	unimportant
车号	vehicle number
没事儿	nothing
具备	possess
回报	return
回收	recycle
地步	stage
截止	deadline
进攻	attack
模样	appearance
愉快	cheerful
废寝忘食	obsessed with work
时刻	moment
套餐	set meal
黑暗料理	bizarre foods
同期	concurrent
各種	all kinds
过节	celebrate
刻薄	unkind
事务	affairs
淘汰	eliminate
大方	generous
史詩級	epic
工夫	effort
姨母笑	indulgent smile
讲究	pay attention to quality
指导	guide
认同	approve
推广	popularize
假设	suppose
抓紧	pay close attention
用得着	useable
有事	be occupied
指标	indicator
再说	moreover
利害	formidable
安检	security check
出圈	remove manure
补充	replenish
不好意思	embarrassed
到底	finally
运动	exercise
发票	invoice
汉字	Chinese character
出行	go out
称心如意	satisfactory
可见	it is clear
工程	project
改装	modify
光线	light
含义	connotation
回复	reply
收拾	tidy up
空间	space
流动	flow
停车	park
支持	support
公安局	public security bureau
使得	make
提示	remind
做法	method
相处	get along
还原	restore
物业	property
嬌羞	bashful
急功近利	shortsighted
家伙	guy
终点	end
转化	convert
论证	prove
确信	convinced
报销	reimburse
大小	large and small
交流	exchange
集中	concentrate
紧张	tense
复苏	recover
露馅	expose
上边	above
背鍋俠	scapegoat
阳光	sunshine
反思	reflection
失误	mistake
实践	practice
伟大	great
想不到	unexpected
空前绝后	unprecedented
名副其实	aptly named
徘徊	hesitate
贫乏	lacking
上进	ambitious
把握	assurance
安置	settle
不敢当	flatter
工作	work
负责	responsible
感情	emotion
单元	unit
联系	connection
记录	record
打量	size up
遏制	check
秩序	order
综合	comprehensive
收养	adopt
狠心	callous
废话	nonsense
牺牲	sacrifice
新兴	emerging
节制	control
一时	temporary
资源	resource
拘束	restrict
开朗	optimistic
武侠	martial arts
宝贝	treasure
不仅	not just
变质	degenerate
冲突	conflict
决定	decide
读音	pronunciation
影响	influence
理发	haircut
過氣網紅	has-been
目光	gaze
舌头	tongue
文字	character
话筒	microphone
碎碎唸	chatter
机动	adaptable
较量	compete
灭亡	perish
屈服	surrender
泰斗	doyen
心眼儿	intention
隐患	hidden danger
包袱	burden
后面	the back
冬叔	Uncle Dong
处分	disciplinary action
后边	the back
贷款	loan
口语	colloquial
科学	science
一定	certainly
炸裂	explode
中间	the middle
私貨	personal opinion
磋商	consult
就是	exactly
辛苦	hard
群嘲	deride
以外	apart from
又叒叕	recurring
外面	outside
现实	reality
疼痛	pain
五星	five planets
结晶	crustallize
颈椎	cervical vertebra
元素	element
专利	patent
招待	reception
日新月异	rapid progress
应酬	socialize
沾光	bask in the light
周边	periphery
表演	performance
不通	obstructed
曾经	once
层面	aspect
池子	pond
广播	broadcast
要求	requirement
反问	rhetorical
风暴	storm
文章	article
虽然	although
沸腾	boil
去掉	get rid of
撞臉	look-alikes
团长	command
占有	own
开支	expenditures
指数	index
抹杀	erase
内涵	connotation
忍耐	endure
书记	secretary
爱好	hobby
标准	standard
拍磚	lambaste
不足	insufficient
干杯	Cheers!
反复	repeatedly
更新	update
联络	contact
生词	new word
強排	support
反射	reflect
栏目	column
剩男	leftover men
逆襲	counterattack
为此	for this reason
凝聚	condense
萝卜	radish
眼神	expression
转折	shift
着想	consideration
案例	instance
出门	leave
倡导	advocate
可能	possible
好看	appealing
闊以	able
斷眉	Broken eyebrow
一旦	once
人家	others
升级	promote
假一赔十	100% genuine
归纳	summarize
蠢萌	Adorkable
喇叭	horn
乐意	willing
投掷	throw
肖像	portrait
验证	verify
不怎么样	indifferent
承认	admit
担任	assume
配一臉	compatible
空调	air conditioning
得以	able to
持久	lasting
商场	shopping mall
轻松	relaxed
吊打	dominate
E神	Eason Chan
密切	close
重点	focus
鍾黑	Wallace Chung detractors
无奈	helpless
协调	coordinate
撕逼	catfight
运作	operate
要命	extremely
出入	entrance
定期	periodic
进行	conduct
反映	reflect
粑粑	dad
膩害	awesome
阴暗	gloomy
降温	cooling
对照	contrast
民间	folk
普及	widespread
背鍋	scapegoat
狗帶	expletive
体会	realize
流浪	wander
浓厚	dense
亲热	affectionate
介绍	introduce
毒唯	fanatic
迪士尼	Disney
拿出	take out
决心	determination
完善	improve
追星狗	fanatic
夸张	exaggerate
聲控	voice-freak
不得已	have to
调动	transfer
可怕	frightful
环保	environmental
白起	Bai Qi
听写	dictation
雙標	double standard
启动	activate
入门	introduction
急于求成	impatient
只见	to see
蓬荜生辉	bring light
体面	dignity
胸怀	broad-minded
出来	come out
闭塞	inaccessible
解决	solve
放下	let go
沉淀	accumulate
普通话	Mandarin
生命	life
男友力	attractiveness
燒腦	intellectually challenging
節操	scruples
礼尚往来	reciprocity
力所能及	to the best of one's ability
履行	fulfill
職業假笑	professional fake smile
编织	weave
怀疑	doubt
着急	worry
麻烦	trouble
气候	climate
甜茶	Sweet tea
两手	both aspects
简体字	simplified character
碾壓	mash
中华民族	Chinese nation
漂浮	float
发病	onset
社會	worldly
撩騷	flirt
师傅	master
受到	receive
外卖	takeout
和解	reconcile
踏实	steady
腐女	fujoshi
主张	advocate
游行	march
只顾	solely preoccupied
启示	revelation
一帆风顺	smooth sailing
保养	maintain
分组	group
定位	categorize
麻麻	mom
故障	malfunction
十分	very
启事	announcement
相机	camera
懶癌	laziness
微信	WeChat
一路	the whole journey
争论	argue
糟蹋	waste
爱不释手	irresistible
哪儿	where
保管	hold in safekeeping
调查	investigation
出路	a way out
建议	suggest
整段垮掉	epic fail
没什么	it doesn't matter
封闭	close
初代	first generation
下课	finish class
胖友	friend
预防	prevent
画蛇添足	ruin the effect
齐心协力	work together
深沉	profound
聊騷	flirting
作天作地	make a scene
部位	part
成就	accomplishment
打击	hit
教训	provide guidance
金拱門	McDonald’s
追劇	binge-watch
脱离	separate
新人	newcomer
间隔	gap
再生	regenerate
公寓	apartment
死宅	otaku
幹得漂亮	well done
好人	good person
小仙女	girl fairy
清明节	Tomb Sweeping Day
舔屏	lick the screen
兴趣	interest
想方设法	think up every possible method
一丝不苟	meticulous
音响	sound
白酒	baijiu
次数	number of times
发出	issue
天命圈	safe zone
关注	pay attention to
凑合	make do
悄悄	quiet
开关	switch
出坑	get out of a pit
小白	novice
实惠	tangible benefit
內個	that one
抬头	raise one's head
提升	promote
飯隨愛豆	fans and idols share similar qualities
直播	live broadcast
招呼	call out to
苦尽甘来	hard times are over
笔记	notes
曝光	expose
太陽女神	Goddess Sun
行人	pedestrian
甩鍋	dump wok
死忠粉	hardcore fans
消灭	annihilate
尖端	tip-top
组合	combine
人事	personnel
气质	personality traits
裁判	judge
分布	distribute
画面	scene
沙发	sofa
提出	propose
臉大	brazen
正好	just
在乎	care
生成	generate
投入	invest
过瘾	satisfying
为止	until
落水	sink
生肖	Chinese zodiac
斩钉截铁	resolute
背着	keeping secret
打工	work
吐血	cough up blood
竟然	unexpectedly
规范	standard
说明	explain
床上運動	sexual intercourse
台阶	steps
对联	rhyming couplet
辜负	let down
主流	mainstream
理所当然	inevitable
算数	keep to one's word
报告	report
风光	scene
回避	avoid
构思	design
拼命	do one's utmost
出轨	be derailed
祖先	ancestors
大哥	big brother
感受	perception
肯定	affirmative
开机	boot up
开学	start school
觉悟	realize
说明书	manual
锲而不舍	persevere
表示	express
高甜	highly sweet
代理	proxy
高潮	climax
花瓶	pretty face
看起来	seemingly
米叔	Uncle Mi
证明	proof
公知	public intellectual
並沒有	not really
攀登	climb
保留	retain
词语	word
处理	handle
房子	house
辩解	explain
出名	well-known
对立	oppose
对了	correct
演出	perform
虐腹	abuse abdomen
演绎	unfold
元宵节	Lantern Festival
正气	moral spirit
本子	book
专业	specialty
乃們	you guys
網綠	be cheated
哈尔滨	Harbin
融合	fusion
科普	popular science
退步	setback
叙述	relate
失事	accident
爱心	compassion
翻译	translate
启发	enlighten
流行	spread
兄弟	brothers
私人	private
型号	model
隔壁老王	neighbor
一向	all along
行程	journey
尊敬	respect
儒家	Confucian
神仙	immortal
吞吞吐吐	hesitate
酝酿	ferment
方便	convenient
沒眼看	embarrassing
鵝廠	Tencent
救救孩子	Save me
发射	launch
開封菜	KFC
美容	beautify
全场	everyone
吃亏	suffer losses
说法	version
寄托	entrust
伪装	disguise
保安	security
鎮魂女孩	Guardian Girls
代表	representative
扶我上墻	Help me
女司機	Female driver
彩蛋	Easter egg
大写加粗	bold
在于	rest with
通电	electrify
鸦雀无声	silence
寄己	self
黑出翔	roast
炮總	Paul Bettany
接收	reception
借鉴	draw on
推坑	persuade
有意义	meaningful
收藏	collect
買買買	splurge
专题	specific topic
流露	reveal
泄气	discouraged
发达	well-developed
哪里	humble
发起	initiate
親測有效	tested
解放	liberate
太极拳	shadowboxing
为难	embarrassed
充电	recharge
辫子	plait
奶奶	grandma
卷西	Curly West
纷纷	one after another
C位	C position
男頻	Male channel
土肥圓	unsophisticated
神經病啊	Neurotic
应用	apply
應援	support
便是	exactly
锻炼	toughen
賽高	awesome
霧草	Fog glass
開畫	Open picture
打包	wrap
品味	taste
瞎说	talk drivel
塑造	model
不过	however
部长	minister
认识	know
然鵝	nevertheless
将军	general
突破	break through
整治	regulate
打发	dispatch
智商稅	gullible
寡姐	Scarlett Johansson
味道	flavor
同人	fan fiction
空闲	leisure
排放	emit
任重道远	responsible
宁可	preferably
囧司徒	Jon Stewart
挖坑	make things difficult
规矩	established standard
转移	shift
麻醉	anesthesia
G點	G-spot
测试	test
大姐	big sister
规定	stipulate
滅霸	Thanos
賣腐	appeal to homosexuality
綠綠	Muslims
白蓮花	pretend to be kind
讨好	win favor
心得	insight
沙雕	stupid
戾氣	evil tendencies
条件	condition
新番	new show
粘贴	paste
墻內	affected by the Great Firewall
提起	mention
小确幸	pleasure in small things
觉醒	awaken
走漏	leak
舔屏向	admiration for celebrity
實錘	irrefutable evidence
馬路殺手	poor drivers
整理	tidy up
面向	face
民工	migrant worker
开拓	break new ground
调和	harmonious
表现	to show
一丟丟	a little
出台	to launch
伯母	aunt
槽點滿滿	problems
緊臟	nervous
对付	to handle
交往	to associate
加油	to cheer
炸號	permanently deactivated
解除	to remove
通过	to pass through
品质	quality
枪手	gunman
靈魂舞者	Soul dancer
新冠病毒	novel coronavirus
嬌嗔	protest coquettishly
白古	White Gu
培养	to cultivate
登陆	to land
灣灣	Taiwan
相应	to correspond
肉體飯	body fan
特别	unusual
壯士	hero
究竟	finally
收圖	collect pictures
挫折	setback
佛系玩家	Buddhist gamer
嘿嘿嘿	lewd laughter
华侨	overseas Chinese
似曾相识	déjà vu
吃土	live on dirt
白人饭	White People’s Food
湯老濕	Dirty Teacher Tang
塞皇	Emperor Sai
女頻	Female channel
气功	qigong
吸血鬼	vampire
油腻	greasy
大厦	grand building
伐木累	exhausting
墻外	on the other side
釦釦熊	Stephen Colbert
細思恐極	petrified
跳水	to dive
孕育	to nurture
一下	give it a go
古風	ancient style
天菜	heavenly dish
盆栽精	Bonsai elf
整体	whole entity
口耐	lovely
走心	to be moved
富二代	wealthy children
人設已崩	image ruined
搬運	transport
顏狗	face dog
神同步	magic simultaneity
佛系	chill
旁友	friend
以上	that level
腦殘	brain-damaged
孝顺	filial
起到	to have effect
小黃書	little yellow book
通用	interchangeable
軟妹	feminine
菇涼	girl
化解	to resolve
送分題	easy question
颠簸	to be jolted
开花	to bloom
粉丝	bean vermicelli
见义勇为	act courageously
养活	to provide for
产生	to arise
急诊	urgent treatment
录取	to accept an applicant
打臉	contradictory
甜寵	sweet
附件	appendix
澄清	settle
绿茶	cunning
抖森	Tom Hiddleston
与其	rather
人道	humanity
折腾	torment
鬥圖	bicker
吸霾	sniff smog
泥萌	humorous
無感	disinterested
感冒	catch cold
不服憋著	confident
科恩嫂	Frances McDormand
流量	traffic
怪我咯	my bad
阿姨	auntie
机场	airport
能打	competitive
奔現	meet offline
佛系青年	laid-back youth
茄子	eggplant
总监	director
慰安妇	comfort woman
多么	how
low	tacky
单位	unit
尽管	despite
画风	style
四字弟弟	Jackson Yee
偉光正	sarcastic
卷福	Benedict Cumberbatch
喪心病狂	wild
干燥	dry
都教授	Professor Du
带有	have
分别	part
翻紅	popular
周邊	merchandise
上门	visit
霸屏	occupy
重口味	intense
站台	platform
沖鴨	encourage
走腎	arousal
问候	greeting
我宣你	like
虐狗	tease
章程	rules
不喜勿噴	opinion
主持	host
